DataFile,SampleName,SamplePrepMethod,ItcMethod,AnalysisMethod,CellConcentration,PipetteConcentration,CellSource,PipetteSource,PreRinseSource,SaveSampleDestination
20191204a1.itc,initial cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A1","Plate1, B1",,"Plate1, A1"
20191204a2.itc,water into water 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C1","Plate1, D1",,"Plate1, C1"
20191204a3.itc,buffer into buffer 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E1","Plate1, F1",,"Plate1, E1"
20191204a4.itc,buffer into CAII 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0.01,0,"Plate1, G1","Plate1, H1",,"Plate1, G1"
20191204a5.itc,buffer into CAII 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0.02,0,"Plate1, A2","Plate1, B2",,"Plate1, A2"
20191204a6.itc,buffer into CAII 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0.04,0,"Plate1, C2","Plate1, D2",,"Plate1, C2"
20191204a7.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0.01,0.170702967,"Plate1, E2","Plate1, F2",,"Plate1, E2"
20191204a8.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0.02,0.291878212,"Plate1, G2","Plate1, H2",,"Plate1, G2"
20191204a9.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0.04,0.502856567,"Plate1, A3","Plate1, B3",,"Plate1, A3"
20191204a10.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0,0.170702967,"Plate1, C3","Plate1, D3",,"Plate1, C3"
20191204a11.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0,0.291878212,"Plate1, E3","Plate1, F3",,"Plate1, E3"
20191204a12.itc,CBS into CAII 1,Plates Quick.setup,ChoderaHSA.inj,Onesite,0,0.502856567,"Plate1, G3","Plate1, H3",,"Plate1, G3"
20191204a13.itc,final cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A4","Plate1, B4",,"Plate1, A4"
20191204a14.itc,final water into water test 1,Plates Clean.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C4","Plate1, D4",,"Plate1, C4"
